,precision,recall,f1-score,support
0,0.9888059701492538,0.864953080375357,0.9227421109902066,2451.0
1,0.4253472222222222,0.9107806691449815,0.5798816568047337,269.0
accuracy,0.8694852941176471,0.8694852941176471,0.8694852941176471,0.8694852941176471
macro avg,0.7070765961857379,0.8878668747601692,0.7513118838974702,2720.0
weighted avg,0.9330815572108819,0.8694852941176471,0.8888342204843639,2720.0
