,precision,recall,f1-score,support
0,0.9919597989949749,0.8053855569155447,0.8889889664489979,2451.0
1,0.34657534246575344,0.9405204460966543,0.5065065065065065,269.0
accuracy,0.81875,0.81875,0.81875,0.81875
macro avg,0.6692675707303641,0.8729530015060996,0.6977477364777522,2720.0
weighted avg,0.9281331744338129,0.81875,0.8511625761090971,2720.0
